,precision,recall,f1-score,support
Abrasions,0.8571428571428571,0.75,0.8,8.0
Bruises,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0
Burns,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Cut,1.0,0.8,0.8888888888888888,5.0
Diabetic Wounds,0.5789473684210527,0.7333333333333333,0.6470588235294118,15.0
Laseration,0.8571428571428571,1.0,0.9230769230769231,12.0
Normal,1.0,1.0,1.0,10.0
Pressure Wounds,0.7142857142857143,0.3333333333333333,0.45454545454545453,15.0
Surgical Wounds,0.6875,0.7333333333333333,0.7096774193548387,15.0
Venous Wounds,0.7222222222222222,0.8666666666666667,0.7878787878787878,15.0
accuracy,0.7522123893805309,0.7522123893805309,0.7522123893805309,0.7522123893805309
macro avg,0.7817241019214703,0.7466666666666667,0.7470385556533564,113.0
weighted avg,0.7565237762547962,0.7522123893805309,0.7376391083667199,113.0
