,precision,recall,f1-score,support
Abrasions,0.6666666666666666,0.0273972602739726,0.05263157894736842,73.0
Bruises,0.36363636363636365,0.36,0.36180904522613067,100.0
Burns,0.0,0.0,0.0,60.0
Cut,0.3333333333333333,0.15555555555555556,0.21212121212121213,45.0
Diabetic Wounds,0.375,0.39,0.38235294117647056,100.0
Laseration,0.75,0.21,0.328125,100.0
Normal,0.49230769230769234,0.7111111111111111,0.5818181818181818,90.0
Pressure Wounds,0.38235294117647056,0.13,0.19402985074626866,100.0
Surgical Wounds,0.17796610169491525,0.42,0.25,100.0
Venous Wounds,0.2898550724637681,0.6,0.39087947882736157,100.0
accuracy,0.3271889400921659,0.3271889400921659,0.3271889400921659,0.3271889400921659
macro avg,0.383111817127921,0.30040639269406394,0.2753767288862994,868.0
weighted avg,0.3938426346445976,0.3271889400921659,0.29547330388234094,868.0
