,precision,recall,f1-score,support
Abrasions,0.5,0.375,0.42857142857142855,8.0
Bruises,0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0
Burns,0.6666666666666666,0.3333333333333333,0.4444444444444444,6.0
Cut,0.5,0.2,0.2857142857142857,5.0
Diabetic Wounds,0.5882352941176471,0.6666666666666666,0.625,15.0
Laseration,0.8461538461538461,0.9166666666666666,0.88,12.0
Normal,0.8333333333333334,1.0,0.9090909090909091,10.0
Pressure Wounds,0.46153846153846156,0.4,0.42857142857142855,15.0
Surgical Wounds,0.7272727272727273,0.5333333333333333,0.6153846153846154,15.0
Venous Wounds,0.6666666666666666,0.8,0.7272727272727273,15.0
accuracy,0.6548672566371682,0.6548672566371682,0.6548672566371682,0.6548672566371682
macro avg,0.640097810686046,0.6141666666666666,0.6077383172383173,113.0
weighted avg,0.6458071687119059,0.6548672566371682,0.6364438069305326,113.0
